panel_type,tag,channel,tag_active,tag_optimize_available,cat_code,pdv2_product_id,cat_number,product,target,clone,species,test_species,category,reagent_class,size,signal_di,tolerance_di,signal_legacy,tolerance_legacy,abundance,cell,stim,custom_avail,optimize_avail,release_date,active,price,pdf_url,notes
Flow,147Sm,147,1,1,FDM,931,3147015B,Anti-Human ALDH (44/ALDH)-147Sm,ALDH,44/ALDH,Human ,Human,Enzyme ,Metal-Conjugated Antibodies,100 Test ,52,10.0,,,,U-87 MG,None,1,1,2016-02-04,yes,0.00,TDS_3147015B.pdf,
Flow,150Nd,150,1,1,FDM,965,3150025B,Anti-Human a-Fetoprotein/AFP (189506)-150Nd,alpha-Fetoprotein/AFP,189506,Human ,Human,Cell Cycle and Proliferation,Metal-Conjugated Antibodies,100 Test,177,35.0,,,,HepG2,None,1,1,2016-04-19,yes,0.00,TDS_3150025B.pdf,
Flow,154Sm,154,1,1,FDM,932,3154018B,Anti-Human Androgen receptor (G122-434)-154Sm,Androgen Receptor,G122-434,Human ,Human,Signaling and Transcription,Metal-Conjugated Antibodies,100 Test ,13,3.0,,,,U-87 MG,None,1,1,2016-02-04,yes,0.00,TDS_3154018B.pdf,
Flow,162Dy,162,1,0,FDM,308,3162006B,Anti-APC (APC003) -162Dy,APC,APC003,Cross,na,Secondaries,Metal-Conjugated Antibodies,100 test,150,30.0,,,,na,na,1,1,2012-12-31,yes,0.00,TDS_3162006B.pdf,NEW
Flow,163Dy,163,1,1,FDM,556,3163001B,Anti-APC (APC003) -163Dy,APC,APC003,Cross,,Secondaries,Metal-Conjugated Antibodies,100 test,80,16.0,,,,,,1,1,2014-06-03,yes,0.00,TDS_3163001B.pdf,
Flow,176Yb,176,1,1,FDM,471,3176007B,Anti-APC (APC003) -176Yb,APC,APC003,Cross,na,Secondaries,Metal-Conjugated Antibodies,100 test,150,30.0,M,30.0,,na,na,1,1,2013-11-15,yes,0.00,TDS_3176007B.pdf,
Flow,164Dy,164,1,1,FDM,704,3164012B,Anti-Human Arginase-1 (658922) -164Dy,Arginase-1,658922,Human,Human,Enzyme,Metal-Conjugated Antibodies,100 test,398,80.0,,,,Hela,None,1,1,2015-05-29,no,0.00,TDS_3164012B.pdf,
Flow,166Er,166,1,1,FDM,966,3166023B,Anti-Human/Mouse Arginase 1/ARG1 (polyclonal)-166Er,Arginase-1,Polyclonal,Human/Mouse,Human,Enzyme,Metal-Conjugated Antibodies,100 Test,136,4.0,,,,HepG2,None,1,1,2016-04-19,no,0.00,TDS_3166023B.pdf,
Flow,170Er,170,1,1,FDM,825,3170016B,Anti-Human B2-microglobulin (2M2)-170Er,B2-microglobulin,2M2,Human ,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,2056,411.0,,,,PBMCs (+ve) and A20 (-ve),none,1,1,2015-08-14,yes,0.00,TDS_3170016B.pdf,
Flow,163Dy,163,1,1,FDM,842,3163012B,Anti-Human/Mouse BCL-6 (K112-91)-163Dy,BCL-6,K112-91,Human/Mouse,human,Signaling and Transcription,Metal-Conjugated Antibodies,100 Test,656,131.0,,,,Ramos,none,1,1,2015-08-14,yes,0.00,TDS_3163012B.pdf,
Flow,147Sm,147,1,1,FDM,227,3147005A,Anti-B-Catenin (D10A8) -147Sm,beta-Catenin,D10A8,Cross,human,Signaling and Transcription,Metal-Conjugated Antibodies,50 test,300,6.0,M,6.0,,"Hela(H), Jurkat (M)",none,1,1,2012-12-31,yes,0.00,TDS_3147005A.pdf,
Flow,165Ho,165,1,1,FDM,726,3165027A,Anti- beta-catenin (D13A1) -165Ho,beta-Catenin,D13A1,Cross,Human,Signaling and Transcription,Metal-Conjugated Antibodies,50 Test,49,10.0,,,,Hela,None,1,1,2015-06-15,yes,0.00,TDS_3165027A.pdf,
Flow,143Nd,143,1,1,FDM,365,3143008B,Anti-Biotin (1D4-C5) -143Nd,Biotin,1D4-C5,Cross,na,Secondaries,Metal-Conjugated Antibodies,100 test,150,30.0,M,30.0,,na,na,1,1,2013-04-01,yes,0.00,TDS_3143008B.pdf,NEW
Flow,150Nd,150,1,1,FDM,423,3150008B,Anti-Biotin (1D4-C5) -150Nd,Biotin,1D4-C5,Cross,na,Secondaries,Metal-Conjugated Antibodies,100 test,150,30.0,M,30.0,,na,na,1,1,2013-07-16,yes,0.00,TDS_3150008B.pdf,
Flow,165Ho,165,1,1,FDM,388,3165012B,Anti-Biotin (1D4-C5) -165Ho,Biotin,1D4-C5,Cross,na,Secondaries,Metal-Conjugated Antibodies,100 test,150,30.0,M,30.0,,na,na,1,1,2013-04-29,yes,0.00,TDS_3165012B.pdf,NEW
Flow,170Er,170,1,1,FDM,389,3170003B,Anti-Biotin (1D4-C5) -170Er,Biotin,1D4-C5,Cross,na,Secondaries,Metal-Conjugated Antibodies,100 test,150,30.0,M,30.0,,na,na,1,1,2013-04-29,yes,0.00,TDS_3170003B.pdf,NEW
Flow,156Gd,156,1,1,FDM,24,3156001B,Anti-Human CD10 (HI10a) -156Gd,CD10,HI10a,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,2387,477.0,,,,Bone Marrow,none,1,1,2012-12-31,yes,0.00,TDS_3156001B.pdf,
Flow,158Gd,158,1,1,FDM,548,3158011B,Anti-Human CD10 (HI10a) -158Gd,CD10,HI10a,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,1607,321.0,,,,NALM-6,None,1,1,2014-04-02,yes,0.00,TDS_3158011B.pdf,
Flow,156Gd,156,1,1,FDM,824,3156021B,Anti-Human CD100 (A8)-156Gd,CD100,A8,Human ,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,13,3.0,,,,human whole blood,none,1,1,2015-08-14,yes,0.00,TDS_3156021B.pdf,
Flow,158Gd,158,1,1,FDM,760,3158020B,Anti-Human CD101 (BB27) -158Gd,CD101,BB27,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,47,9.0,,,,PBMC,None,1,1,2015-07-08,yes,0.00,TDS_3158020B.pdf,
Flow,165Ho,165,1,1,FDM,896,3165029B,Anti-Human CD101 (BB27)-165Ho ,CD101,BB27,Human ,Human ,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,60,12.0,,,,PBMCs,None,1,1,2015-09-30,yes,0.00,TDS_3165029B.pdf,
Flow,151Eu,151,1,0,FDM,756,3151015B,Anti-Human CD102 (CBR-IC2/2) -151Eu,CD102/ICAM-2,CBR-IC2/2,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,67,7.0,,,,PBMC,None,1,1,2015-07-08,yes,0.00,TDS_3151015B.pdf,
Flow,151Eu,151,1,0,FDM,628,3151011B,Anti-Human CD103 (Ber-ACT8) -151Eu,CD103,Ber-ACT8,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,54,11.0,,0.0,,PBMC,"PHA, 3 days",1,1,2015-01-29,yes,0.00,TDS_3151011B.pdf,
Flow,173Yb,173,1,1,FDM,787,3173008B,Anti-Human CD104 (58XB4) -173Yb,CD104,58XB4,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,116,23.0,,,,HT29,None,1,1,2015-07-08,yes,0.00,TDS_3173008B.pdf,
Flow,163Dy,163,1,1,FDM,693,3163005B,Anti-Human  CD105/Endoglin (43A3)-163Dy,CD105/Endoglin,43A3,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,70,14.0,,,,THP-1,None,1,1,2015-05-02,yes,0.00,TDS_3163005B.pdf,
Flow,106Cd,106,1,0,FDM,1948,3106002B,Anti-Human CD107a (H4A3) - 106Cd,CD107a/LAMP1,H4A3,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,117,23.4492,,,,,,1,1,,yes,,,
Flow,151Eu,151,1,0,FDM,283,3151002B,Anti-Human CD107a (H4A3) -151Eu,CD107a/LAMP1,H4A3,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,275,55.0,H,200.0,,PBMC,"PMA/Iono, 5 hrs",1,1,2012-12-31,yes,0.00,TDS_3151002B.pdf,NEW
Flow,161Dy,161,1,1,FDM,788,3161017B,Anti-Human CD107b (H4B4) -161Dy,CD107b/LAMP2,H4B4,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,69,14.0,,,,MOLT-4,None,1,1,2015-07-08,yes,0.00,TDS_3161017B.pdf,
Flow,172Yb,172,1,1,FDM,972,3172026B,Anti-Human CD111/Nectin-1 (R1.302)-172Yb,CD111/Nectin-1,R1.302,Human ,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,43,9.0,,,,HL60,none,1,1,2016-05-04,yes,0.00,TDS_3172026B.pdf,
Flow,143Nd,143,1,1,FDM,44,3143001B,Anti-Human CD117 [ckit] (104D2) -143Nd,CD117,104D2,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,59,12.0,M,6.0,,TF-1a,none,1,1,2012-12-31,yes,0.00,TDS_3143001B.pdf,
Flow,142Nd,142,1,0,FDM,367,3142006B,Anti-Human CD11a (HI111) -142Nd,CD11a,HI111,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,253,51.0,M,20.0,,PBMC,none,1,1,2013-04-01,yes,0.00,TDS_3142006B.pdf,NEW
Flow,114Cd,114,1,0,FDM,1302,92J037114,Anti-CD11b (ICRF44)-114Cd—25 uL,CD11b/Mac-1,ICRF44,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,25 uL,133,26.5828,,,,,,1,1,,yes,,,
Flow,144Nd,144,1,0,FDM,25,3144001B,Anti-Human CD11b (ICRF44) -144Nd,CD11b/Mac-1,ICRF44,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,277,55.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3144001B.pdf,
Flow,167Er,167,1,0,FDM,682,3167011B,Anti-Human CD11b/Mac-1(ICRF44)-167Er,CD11b/Mac-1,ICRF44,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,906,181.0,,,,PBMC,None,1,1,2015-05-02,yes,0.00,TDS_3167011B.pdf,
Flow,209Bi,209,1,1,FDM,691,3209003B,Anti-Human CD11b (ICRF44) -209Bi,CD11b/Mac-1,ICRF44,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,1135,227.0,,,,PBMC,None,1,0,2015-05-02,yes,0.00,TDS_3209003B.pdf,
Flow,146Nd,146,1,1,FDM,736,3146014B,Anti-Human  CD11c (3.9) -146Nd,CD11c,3.9,Human ,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,65,13.0,,,,PBMC,None,1,1,2015-06-15,yes,0.00,TDS_3146014B.pdf,
Flow,147Sm,147,1,1,FDM,551,3147008B,Anti-Human CD11c (Bu15) -147Sm,CD11c,Bu15,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,380,76.0,,18.0,,PBMC,None,1,1,2014-04-14,yes,0.00,TDS_3147008B.pdf,
Flow,159Tb,159,1,1,FDM,26,3159001B,Anti-Human CD11c (Bu15) -159Tb,CD11c,Bu15,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,676,135.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3159001B.pdf,
Flow,162Dy,162,1,0,FDM,301,3162005B,Anti-Human CD11c (Bu15) -162Dy,CD11c,Bu15,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,705,141.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3162005B.pdf,NEW
Flow,163Dy,163,1,1,FDM,977,3163025B,Anti-Human CD121B (MNC2)-163Dy,CD121B,MNC2,Human ,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,10,3.0,,,,SR,none,1,1,2016-05-04,yes,0.00,TDS_3163025B.pdf,
Flow,170Er,170,1,1,FDM,422,3170004B,Anti-Human CD122 (Tu27) -170Er,CD122,Tu27,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,300,60.0,,,,PBMC,none,1,1,2013-06-28,yes,0.00,TDS_3170004B.pdf,
Flow,143Nd,143,1,1,FDM,38,201325,Human CD123 (6H6)-143Nd,CD123,6H6,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,1328,266.0,346.44,69.0,,WB,none,1,1,0000-00-00,yes,0.00,TDS_3153001B.pdf,
Flow,143Nd,143,1,1,FDM,549,3143014B,Anti-Human CD123 (6H6) -143Nd,CD123/IL-3R,6H6,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,269,54.0,,12.0,,PBMC,None,1,1,2014-04-14,yes,0.00,TDS_3143014B.pdf,
Flow,151Eu,151,1,0,FDM,45,3151001B,Anti-Human CD123 (6H6) -151Eu,CD123/IL-3R,6H6,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,475,95.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3151001B.pdf,
Flow,143Nd,143,1,1,FDM,510,3143012B,Anti-Human CD127 (A019D5) -143Nd,CD127/IL-7R alpha,A019D5,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,23,5.0,,4.0,,PBMC,None,1,1,2014-02-24,yes,0.00,TDS_3143012B.pdf,
Flow,149Sm,149,1,1,FDM,557,3149011B,Anti-Human CD127 (A019D5) -149Sm,CD127/IL-7R alpha,A019D5,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,73,15.0,,,,PBMC,None,1,1,2014-06-03,yes,0.00,TDS_3149011B.pdf,
Flow,165Ho,165,1,1,FDM,329,3165008B,Anti-Human CD127 (A019D5) -165Ho,CD127/IL-7R alpha,A019D5,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,120,24.0,,40.0,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3165008B.pdf,NEW
Flow,168Er,168,1,0,FDM,863,3168017B,Anti-Human CD127 (A019D5)-168Er,CD127/IL-7R alpha,A019D5,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,60,12.0,,,,PBMCs,None,1,1,2015-08-14,yes,0.00,TDS_3168017B.pdf,
Flow,176Yb,176,1,1,FDM,253,3176004B,Anti-Human CD127 (A019D5) -176Yb,CD127/IL-7R alpha,A019D5,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,133,27.0,,40.0,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3176004B.pdf,NEW
Flow,147Sm,147,1,1,FDM,923,3147014B,Anti-Human CD13 (WM15)-147Sm,CD13,WM15,Human ,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,73,15.0,,,,PBMCs,None,1,1,2015-12-03,yes,0.00,TDS_3147014B.pdf,
Flow,152Sm,152,1,0,FDM,244,3152003B,Anti-Human CD13 (WM15)-152Sm,CD13,WM15,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,125,25.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3152003B.pdf,NEW
Flow,160Gd,160,1,1,FDM,678,3160014B,Anti-Human CD13 (WM15)-160Gd,CD13,WM15,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,134,27.0,,,,PBMC,None,1,1,2015-05-02,yes,0.00,TDS_3160014B.pdf,
Flow,160Gd,160,1,1,FDM,834,3160017B,Anti-Human CD130 (2E1B02)-160Gd,CD130,2E1B02,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,17,3.0,,,,whole blood,None,1,1,2015-08-14,yes,0.00,TDS_3160017B.pdf,
Flow,168Er,168,1,0,FDM,778,3168016B,Anti-Human CD130 (2E1B02) -168Er,CD130,2E1B02,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,11,3.0,,,,PBMC,None,1,1,2015-07-08,yes,0.00,TDS_3168016B.pdf,
Flow,148Nd,148,1,1,FDM,797,3148014B,Anti-Human CD132 (TUGh4) -148Nd,CD132,TUGh4 ,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,37,3.0,,,,PBMC,None,1,1,2015-07-08,yes,0.00,TDS_3148014B.pdf,
Flow,142Nd,142,1,0,FDM,1157,3142018B,Anti-Human CD134/OX40 (ACT35) - 142Nd - 100 Tests,CD134/OX40,ACT35,Human ,,IO,Metal-Conjugated Antibodies,100 Test,52,10.0,,,,PBMC,,1,1,2020-01-07,yes,0.00,,
Flow,150Nd,150,1,1,FDM,862,3150023B,Anti-Human CD134/OX40 (ACT35)-150Nd,CD134/OX40,ACT35,Human,Human ,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,259,52.0,,,,PBMCs,PHA,1,1,2015-08-14,yes,0.00,TDS_3150023B.pdf,
Flow,158Gd,158,1,1,FDM,553,3158012B,Anti-Human CD134 [OX40] (ACT35) -158Gd,CD134/OX40,ACT35,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,25,3.0,,2.2,,PBMC,"PHA, 3 days",1,1,2014-04-15,yes,0.00,TDS_3158012B.pdf,
Flow,158Gd,158,1,1,FDM,720,3158019B,Anti-Human CD135/Flt3 (BV10A4H2) -158Gd,CD135/FLT3,BV10A4H2,Human ,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,29,6.0,,,,REH,None,1,1,2015-05-29,yes,0.00,TDS_3158019B.pdf,
Flow,158Gd,158,1,1,FDM,789,3158022B,Anti-Human CD137 Ligand (5F4) -158Gd,CD137L,5F4,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,32,3.0,,,,HT29,None,1,1,2015-07-08,yes,0.00,TDS_3158022B.pdf,
Flow,158Gd,158,1,1,FDM,592,3158013B,Anti-Human CD137/4-1BB (4B4-1) -158Gd,CD137/4-1BB,4B4-1,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,42,3.0,,,,PBMC,"PHA, 3 days",1,1,2014-10-14,yes,0.00,TDS_3158013B.pdf,
Flow,173Yb,173,1,1,FDM,998,3173015B,Anti-Human CD137/4-1BB (4B4-1)-173Yb,CD137/4-1BB,4B4-1,Human ,Human ,CD & Surface Marker Antibodies,Metal-Conjugated Antibodies,100 Test,49,10.0,,,,PBMC,PHA (3 days),1,1,2016-11-07,yes,0.00,,
Flow,209Bi,209,1,1,FDM,1154,3209015B,Anti-Human CD137/4-1BB (4B4-1) - 209Bi - 100 Tests,CD137/4-1BB,4B4-1,Human ,,IO,Metal-Conjugated Antibodies,100 Test,57,11.0,,,,PBMC,,1,1,2020-01-07,yes,0.00,,
Flow,145Nd,145,1,0,FDM,413,3145003B,Anti-Human CD138 (DL-101) -145Nd,CD138,DL-101,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,20,4.01,M,6.6,,U266,none,1,1,2013-05-24,yes,0.00,TDS_3145003B.pdf,
Flow,150Nd,150,1,1,FDM,511,3150012B,Anti-Human CD138 (DL-101) -150Nd,CD138,DL-101,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,51,10.0,M,14.0,,U266,None,1,1,2014-02-24,yes,0.00,TDS_3150012B.pdf,
Flow,168Er,168,1,0,FDM,498,3168009B,Anti-Human CD138 (DL-101) -168Er,CD138,DL-101,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,67,13.0,M,20.0,,U266,None,1,1,2014-02-24,yes,0.00,TDS_3168009B.pdf,
Flow,146Nd,146,1,1,FDM,1648,3146022B,Anti-Human CD14 (M5E2)-146Nd—100 Tests,CD14,M5E2,Human,Human,CD and Surface Makers,Metal-Conjugated Antibodies,100 Test,127,25.0,,,,,,1,1,,yes,,,New Clones
Flow,151Eu,151,1,0,FDM,543,3151009B,Anti-Human CD14 (M5E2) -151Eu,CD14,M5E2,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,62,12.0,,30.0,,PBMC,None,1,1,2014-04-02,yes,0.00,TDS_3151009B.pdf,
Flow,156Gd,156,1,1,FDM,667,3156019B,Anti-Human CD14 (HCD14)-156Gd,CD14,HCD14,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,199,40.0,,,,PBMC,None,1,1,2015-05-02,yes,0.00,TDS_3156019B.pdf,
Flow,160Gd,160,1,1,FDM,27,3160001B,Anti-Human CD14 (M5E2) -160Gd,CD14,M5E2,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,113,22.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3160001B.pdf,
Flow,175Lu,175,1,1,FDM,547,3175015B,Anti-Human CD14 (M5E2) -175Lu,CD14,M5E2,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,48,10.0,,60.0,,PBMC,None,1,1,2014-04-02,yes,0.00,TDS_3175015B.pdf,
