panel_type,pdv2_id,product,species,category,target,size,clone,tag,cat_number,test_species
IMC,1794,Anti-APP (4G8)-141Pr—15 ug,"Human, Mouse",FFPE,APP,15 ug,4G8,141Pr,91H055141,"Human, Mouse"
IMC,1795,Anti-APP (4G8)-158Gd—15 ug,"Human, Mouse",FFPE,APP,15 ug,4G8,158Gd,91H055158,"Human, Mouse"
IMC,1796,Anti-APP (4G8)-172Yb—15 ug,"Human, Mouse",FFPE,APP,15 ug,4G8,172Yb,91H055172,"Human, Mouse"
IMC,1347,Anti-Arginase-1 (D4E3M)-164Dy—25 µg,"Cross,Human",FFPE,ARGINASE-1,25 µg,D4E3M,164Dy,3164027D,"Cross,Human"
IMC,1913,Anti-ATP5A (EPR13030(B))-145Nd—25 ug,"Human, mouse, rat",FFPE,ATP5A,25 µg,EPR13030(B),145Nd,3145023D,"Human, mouse, rat"
IMC,1764,Anti-Human Alpha-Smooth Muscle Actin (1A4)-209Bi—25 ug,Human,FFPE,Alpha-Smooth Muscle Actin,25 ug,1A4,209Bi,91H001209,Human
IMC,1785,Anti-AlphaSyn (E4U2F)-141Pr—15 ug,"Human, Mouse",FFPE,AlphaSyn,15 ug,E4U2F,141Pr,91H052141,"Human, Mouse"
IMC,1786,Anti-AlphaSyn (E4U2F)-149Sm—15 ug,"Human, Mouse",FFPE,AlphaSyn,15 ug,E4U2F,149Sm,91H052149,"Human, Mouse"
IMC,1787,Anti-AlphaSyn (E4U2F)-158Gd—15 ug,"Human, Mouse",FFPE,AlphaSyn,15 ug,E4U2F,158Gd,91H052158,"Human, Mouse"
IMC,1348,Anti-Human B7-H4 (H74)-166Er—25 µg,Human,FFPE,B7-H4,25 µg,H74,166Er,3166030D,Human
IMC,1349,Anti-BCL-2 (EPR17509)-146Nd,"Human,Mouse",FFPE,BCL-2,25 µg,EPR17509,146Nd,3146019D,"Human,Mouse"
IMC,1360,Anti-BRCA1 (MS110)-172Yb,"Human,Mouse",FFPE,BRCA1,25 µg,MS110,172Yb,3172030D,"Human,Mouse"
IMC,1350,Anti-Human/Mouse BCL-6 (K112-91)-147Sm—25 µg,"Human,Mouse",FFPE,Bcl-6,25 µg,K112-91,147Sm,3147020D,"Human,Mouse"
IMC,1776,Anti-Human Beta-Catenin (5H10)-169Tm—25 ug,Human,FFPE,Beta-Catenin,25 ug,5H10,169Tm,3169031D,Human
IMC,1362,Anti-Human CD107a/LAMP1 (H4A3)-151Eu—25 µg,Human,FFPE,CD107a/LAMP1,25 µg,H4A3,151Eu,3151021D,Human
IMC,1363,Anti-CD11b (EPR1344)-146Nd—15 µg,"Human,Mouse",FFPE,CD11b,15 µg,EPR1344,146Nd,91H007146,"Human,Mouse"
IMC,1364,Anti-CD11b (EPR1344)-149Sm,"Human,Mouse",FFPE,CD11b,25 µg,EPR1344,149Sm,3149028D,"Human,Mouse"
IMC,1365,Anti-CD11b (EPR1344)-163Dy—15 µg,"Human,Mouse",FFPE,CD11b,15 µg,EPR1344,163Dy,91H007163,"Human,Mouse"
IMC,1366,Anti-CD11b (EPR1344)-165Ho—15 µg,"Human,Mouse",FFPE,CD11b,15 µg,EPR1344,165Ho,91H007165,"Human,Mouse"
IMC,1770,Anti-Human CD11b (EPR1344)-144Nd—25 ug,Human,FFPE,CD11b,25 ug,EPR1344,144Nd,3144030D,Human
IMC,1367,Anti-CD11c (3.9)-154Sm—25 µg,"Cross,Human",Frozen,CD11c,25 µg,3.9,154Sm,3154026D,"Cross,Human"
IMC,1368,Anti-Human CD11c (Polyclonal)-154Sm—25 µg,Human,FFPE,CD11c,25 µg,Polyclonal,154Sm,3154025D,Human
IMC,1369,Anti-CD11c (EP1347Y)-145Nd-15 ug,Human,FFPE,CD11c,15 µg,EP1347Y,145Nd,91H041145,Human
IMC,1370,Anti-CD11c (EP1347Y)-151Eu-15 ug,Human,FFPE,CD11c,15 µg,EP1347Y,151Eu,91H041151,Human
IMC,1372,Anti-CD11c (EP1347Y)-160Gd-15 ug,Human,FFPE,CD11c,15 µg,EP1347Y,160Gd,91H041160,Human
IMC,1373,Anti-CD127/IL-7Rα [EPR2955(2)]-168Er,"Cross,Human,Mouse",FFPE,CD127/IL7R,25 µg,EPR2955(2),168Er,3168026D,"Cross,Human,Mouse"
IMC,1374,Anti-CD134/OX40 (Polyclonal)-151Eu,"Human,Mouse",FFPE,CD134/OX40,25 µg,Polyclonal,151Eu,3151024D,"Human,Mouse"
IMC,1887,Anti-Human CD134/OX40 (ACT35)-167Er—25ug,Human,FFPE,CD134/OX40,25 µg,ACT35,167Er,3167027D,Human
IMC,1375,Anti-CD14 (EPR3653)-144Nd,"Human,Mouse",FFPE,CD14,25 µg,EPR3653,144Nd,3144025D,"Human,Mouse"
IMC,1376,Anti-CD14 (EPR3653)-148Nd—15 µg,"Human,Mouse",FFPE,CD14,15 µg,EPR3653,148Nd,91H003148,"Human,Mouse"
IMC,1377,Anti-CD14 (EPR3653)-151Eu—15 µg,"Human,Mouse",FFPE,CD14,15 µg,EPR3653,151Eu,91H003151,"Human,Mouse"
IMC,1378,Anti-CD14 (EPR3653)-163Dy—15 µg,"Human,Mouse",FFPE,CD14,15 µg,EPR3653,163Dy,91H003163,"Human,Mouse"
IMC,1379,Anti-CD14 (EPR3653)-153Eu-15 ug,Human,FFPE,CD14,15 µg,EPR3653,153Eu,91H003153,Human
IMC,1380,Anti-CD14 (EPR3653)-160Gd-15 ug,Human,FFPE,CD14,15 µg,EPR3653,160Gd,91H003160,Human
IMC,1381,Anti-CD14 (EPR3653)-175Lu-15 ug,Human,FFPE,CD14,15 µg,EPR3653,175Lu,3175041D,Human
IMC,1382,Anti-Human CD15 (W6D3)-149Sm—25 µg,Human,"FFPE,Frozen",CD15,25 µg,W6D3,149Sm,3149026D,Human
IMC,1780,Anti-Human CD15/SSEA-1 (W6D3)-145Nd—25 ug,Human,FFPE,CD15/SSEA-1,25 ug,W6D3,145Nd,3145021D,Human
IMC,1888,Anti-Human CD152/CTLA-4 (BLR257L)-168Er—25ug,Human,FFPE,CD152/CTLA-4,25 µg,BLR257L,168Er,3168030D,Human
IMC,1383,Anti-Human CD16 (EPR16784)-146Nd—25 µg,Human,"FFPE,Frozen",CD16,25 µg,EPR16784,146Nd,3146020D,Human
IMC,1384,Anti-CD16 (EPR16784 )148Nd—15 µg,"Human, Rat","FFPE,Frozen",CD16,15 µg,EPR16784,148Nd,91H004148,"Human, Rat"
IMC,1385,Anti-CD16 (EPR16784 )149Sm—15 µg,"Human, Rat","FFPE,Frozen",CD16,15 µg,EPR16784,149Sm,91H004149,"Human, Rat"
IMC,1386,Anti-CD16 (EPR16784 )153Eu—15 µg,"Human, Rat","FFPE,Frozen",CD16,15 µg,EPR16784,153Eu,91H004153,"Human, Rat"
IMC,1387,Anti-Human CD163 (EDHu-1)-147Sm—25 µg,Human,"FFPE,Frozen",CD163,25 µg,EDHu-1,147Sm,3147021D,Human
IMC,1388,Anti-CD163 (EDHu-1 )148Nd—15 µg,Human,"FFPE,Frozen",CD163,15 µg,EDHu-1,148Nd,91H005148,Human
IMC,1389,Anti-CD163 (EDHu-1 )151Eu—15 µg,Human,"FFPE,Frozen",CD163,15 µg,EDHu-1,151Eu,91H005151,Human
IMC,1390,Anti-CD163 (EDHu-1 )152Sm—15 µg,Human,"FFPE,Frozen",CD163,15 µg,EDHu-1,152Sm,91H005152,Human
IMC,1391,Anti-CD19 (6OMP31)-142Nd—25 µg,"Cross,Human",FFPE,CD19,25 µg,6OMP31,142Nd,3142014D,"Cross,Human"
IMC,1392,Anti-CD19 (HIB19)-142Nd—25 µg,"Cross,Human",Frozen,CD19,25 µg,HIB19,142Nd,3142016D,"Cross,Human"
IMC,1393,Anti-Human CD194/CCR4 (L291H4)-149Sm—25 µg,Human,FFPE,CD194/CCR4,25 µg,L291H4,149Sm,3149030D,Human
IMC,1394,Anti-CD196/CCR6 (G034E3)-163Dy—25 µg,"Cross,Human",Frozen,CD196/CCR6,25 µg,G034E3,163Dy,3163030D,"Cross,Human"
IMC,1643,Anti-CD20 (H1) -115In - 15 µg,Human,FFPE,CD20,15 µg,H1,115In,3115001D,Human
IMC,1395,Anti-CD20 (2H7)-161Dy—25 µg,"Cross,Human",Frozen,CD20,25 µg,2H7,161Dy,3161032D,"Cross,Human"
IMC,1397,Anti-CD20 (H1 )145Nd—15 µg,Human,FFPE,CD20,15 µg,H1,145Nd,91H013145,Human
IMC,1398,Anti-CD20 (H1 )147Sm—15 µg,Human,FFPE,CD20,15 µg,H1,147Sm,91H013147,Human
IMC,1399,Anti-CD20 (H1 )164Dy—15 µg,Human,FFPE,CD20,15 µg,H1,164Dy,91H013164,Human
IMC,1400,Anti-CD206/MMR (5C11)-153Eu-15 ug,Human,FFPE,CD206,15 µg,5C11,153Eu,91H042153,Human
IMC,1401,Anti-CD206/MMR (5C11)-163Dy-15 ug,Human,FFPE,CD206,15 µg,5C11,163Dy,91H042163,Human
IMC,1402,Anti-CD206/MMR (5C11)-167Er-15 ug,Human,FFPE,CD206,15 µg,5C11,167Er,91H042167,Human
IMC,1783,Anti-Human CD206/MMR (5C11)-167Er—25 ug,Human,FFPE,CD206/MMR,25 ug,5C11,167Er,3167026D,Human
IMC,1886,Anti-Human CD223/LAG-3 (BLR027F)-148Nd—25ug,Human,FFPE,CD223/LAG-3,25 µg,BLR027F,148Nd,3148026D,Human
IMC,1403,Anti-Human CD223/LAG-3 (D2G40)-153Eu—25 µg,Human,FFPE,CD223/LAG3,25 µg,D2G40,153Eu,3153028D,Human
IMC,1404,Anti-Human CD227/Mucin 1 (SM3)-150Nd—25 µg,Human,FFPE,CD227/MUC1,25 µg,SM3,150Nd,3150032D,Human
IMC,1405,Anti-Human CD235ab (HIR2)-175Lu—25 µg,Human,FFPE,CD235ab,25 µg,HIR2,175Lu,3175029D,Human
IMC,1910,Anti-CD25 (2A3) - 169Tm - 15ug,Human,FFPE,CD25,15 µg,2A3,169Tm,3169003B,Human
IMC,1406,Anti-Human CD25 (2A3)-175Lu—25 µg,Human,Frozen,CD25,25 µg,2A3,175Lu,3175037D,Human
IMC,1408,Anti-CD27 (LG.3A10)-171Yb—25 µg,Human,Frozen,CD27,25 µg,LG.3A10,171Yb,3171025D,Human
IMC,1409,Anti-Human CD27 (EPR8569)-171Yb—25 µg,Human,FFPE,CD27,25 µg,EPR8569,171Yb,3171024D,Human
IMC,1609,Anti-CD274/PD-L1 (E1L3N)-150Nd—25 µg,Human,FFPE,CD274/PD-L1,25 µg,E1L3N,150Nd,3150031D,Human
IMC,1410,Anti-Human CD274/PD-L1 (SP142)-150Nd—25 µg,Human,"FFPE,Frozen",CD274/PD-L1,25 µg,SP142,150Nd,3150033D,Human
IMC,1412,Anti-CD274/PD-L1 (73-10)-151Eu-15 ug,Human,FFPE,CD274/PD-L1,15 µg,73-10,151Eu,91H046151,Human
IMC,1413,Anti-CD274/PD-L1 (73-10)-164Dy-15 ug,Human,FFPE,CD274/PD-L1,15 µg,73-10,164Dy,91H046164,Human
IMC,1414,Anti-CD274/PD-L1 (73-10)-166Er-15 ug,Human,FFPE,CD274/PD-L1,15 µg,73-10,166Er,3166032D,Human
IMC,1415,Anti-CD274/PD-L1 (73-10)-174Yb-15 ug,Human,FFPE,CD274/PD-L1,15 µg,73-10,174Yb,91H046174,Human
IMC,1416,Anti-Human CD276/B7-H3 (Polyclonal)-173Yb—25 µg,Human,FFPE,CD276/B7-H3,25 µg,Polyclonal,173Yb,3173014D,Human
IMC,1417,Anti-Human CD278/ICOS (D1K2T)-148Nd—25 µg,Human,FFPE,CD278/ICOS,25 µg,D1K2T,148Nd,3148021D,Human
IMC,1418,Anti-CD278/ICOS (D1K2T)-164Dy-15 ug,Human,FFPE,CD278/ICOS,15 µg,D1K2T,164Dy,91H043164,Human
