"label","target","reactivity","instrument_type","tol_include","created","channel_min","channel_max","kit_instrument_avail","imported_exp","kit_reactivity","panel_type","description","experiment_name","exp_kit_id","product_id","active","custom","signal_di","label_product_id","catalog_id","clone","updated_at","kit_id","group","catalog","tolerance_di"
"156Gd","CD4","Human","Hyperion XTi","false","2026-08-24 15:58:52","75","209","","[211043,211044]","0","IMC","","Testolicious","0","3156033D","1","0","66","1719","1","EPR6855","2026-08-24 16:51:00","211043","A","FDM","0"
"159Tb","CD68","Human","Hyperion XTi","false","2026-08-24 15:58:52","75","209","","[211043,211044]","0","IMC","","Testolicious","0","3159035D","1","0","66","1723","1","KP1","2026-08-24 16:51:00","211043","A","FDM","0"
"148Nd","Pan-Keratin","Human","Hyperion XTi","false","2026-08-24 15:58:52","75","209","","[211043,211044]","0","IMC","","Testolicious","0","3148020D","1","0","66","1703","1","C11","2026-08-24 16:51:00","211043","A","FDM","0"
"161Dy","CD20","Human","Hyperion XTi","false","2026-08-24 15:58:52","75","209","","[211043,211044]","0","IMC","","Testolicious","0","3161029D","1","0","66","1727","1","H1","2026-08-24 16:51:00","211043","A","FDM","0"
"170Er","CD3","Human","Hyperion XTi","false","2026-08-24 15:58:52","75","209","","[211043,211044]","0","IMC","","Testolicious","0","3170019D","1","0","66","1745","1","Polyclonal, C-Terminal","2026-08-24 16:51:00","211043","A","FDM","0"
"173Yb","CD45RO","Human","Hyperion XTi","false","2026-08-24 15:58:52","75","209","","[211043,211044]","0","IMC","","Testolicious","0","3173016D","1","0","66","1751","1","UCHL1","2026-08-24 16:51:00","211043","A","FDM","0"
"162Dy","CD8A","Human","Hyperion XTi","false","2026-08-24 15:58:52","75","209","","[211043,211044]","0","IMC","","Testolicious","0","3162034D","1","0","66","1729","1","C8/144B","2026-08-24 16:51:00","211043","A","FDM","0"
"155Gd","FoxP3","Human","Hyperion XTi","false","2026-08-24 15:58:52","75","209","","[211043,211044]","0","IMC","","Testolicious","0","3155018D","1","0","66","1717","1","PCH101","2026-08-24 16:51:00","211043","A","FDM","0"
"150Nd","CD274/PD-L1","Human","Hyperion XTi","false","2026-08-24 15:58:52","75","209","","[211043,211044]","0","IMC","","Testolicious","0","3150033D","1","0","66","1707","1","SP142","2026-08-24 16:51:00","211044","A","FDM","0"
"167Er","Granzyme B","Human","Hyperion XTi","false","2026-08-24 15:58:52","75","209","","[211043,211044]","0","IMC","","Testolicious","0","3167021D","1","0","66","1739","1","EPR20129-217","2026-08-24 16:51:00","211044","A","FDM","0"
"168Er","Ki-67","Human","Hyperion XTi","false","2026-08-24 15:58:52","75","209","","[211043,211044]","0","IMC","","Testolicious","0","3168007B","1","0","66","1741","1","B56","2026-08-24 16:51:00","211044","A","FDM","0"
"165Ho","CD279/PD-1","Human","Hyperion XTi","false","2026-08-24 15:58:52","75","209","","[211043,211044]","0","IMC","","Testolicious","0","3165039D","1","0","66","1735","1","EPR4877(2)","2026-08-24 16:51:00","211044","A","FDM","0"
