Application,Part Number,Target,Clone,Metal,Reported Reactivity,Format,Technical Data Sheet,Safety Data Sheet,Sample Type,Assay Type
IMC (Imaging),3089006D,Anti-Human Collagen I,<div>Polyclonal</div>,89Y,"Human, Bovine","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbF/wyjrQP2gf4IxygLlhGMKf2kALMwPchfIwiFRmWLFmB0"" target=""_blank"">PRD025-3089006D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3115001D,Anti-Human CD20,<div>H1</div>,115In,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbZ/zibNgCaJ_dItpIqgZqEnuvlg_PmPqpfHdjHOavF1AMc"" target=""_blank"">PRD025-3115001D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001871B/MeSTzNFqAX1JSIMP9qax90qQmfB2q0mk6RgDRE8kaTE"" target=""_blank"">SDS-00068</a>",FFPE,Maxpar
IMC (Imaging),3141017D,Anti-Human α-Smooth Muscle Actin,<div>1A4</div>,141Pr,"Human, Mouse","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iRs/S9qg5DhAeYaxh.PbNWGf83euWhMFe6Zp71j55SV_WYU"" target=""_blank"">PRD025-3141017D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>","FFPE, Frozen",Maxpar
IMC (Imaging),3141018D,Anti-Human CD38 ,<div>EPR4106</div>,141Pr,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iSJ/xp.hoh5xXA2k_5OfEd9OZGPTHq7SLQoQU3B.inBuTM8"" target=""_blank"">PRD025-3141018D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3141020D,Anti-Human CD38 ,<div>HIT2</div>,141Pr,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n59/mzbekdzV1P47cLHAmMx8wD360RxkH8Zmws2Y2UOzLnk"" target=""_blank"">PRD025-3141020D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3141021D,Anti-Human Pan-CytoKeratin,<div>AE-1/AE-3</div>,141Pr,"Human, Rat, Dog, Non-Human Primate","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbK/odAy_sFvMWrvKORyuqZIB6.YmALSflnhiJjFOY75cCo"" target=""_blank"">PRD025-3141021D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3142013D,Anti-Human EGFR ,<div>D38B1</div>,142Nd,"Human, Mouse, Monkey","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iSN/HKEDsTN.0YV06Gz.lNYLzJOyImoo9WzR.pLY.nHEq40"" target=""_blank"">PRD025-3142013D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3142014D,Anti-CD19 ,<div>6OMP31</div>,142Nd,"Human, Mouse, Rat","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iSI/Mmllyal5n4d6qsFsoPBANgXJaLThAKWt8pPxGrhgMQE"" target=""_blank"">PRD025-3142014D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3142016D,Anti-Human CD19,<div>HIB19</div>,142Nd,"Human, Chimpanzee, Rhesus","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iRr/iyz.fWyfPRr4_VblJ50G9fXh669bPe6cc0rTkE23TNw"" target=""_blank"">PRD025-3142016D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3142020D,Anti-Human/Mouse Iba1,<div>EPR16588</div>,142Nd,"Human, Mouse, Rat","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000187HY/Kcu21oMtRVZPDlJTlsJsK2kE3eWIyYG3ntohT8fZRU8"" target=""_blank"">PRD025-3142020D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
