id,name,source,application,species,category,featured,n_markers,markers
neuro-expansion,Neuro expansion,sbt_kit,imaging,human,disease,False,3,"β III Tubulin(89Y), Synaptophysin(151Eu), TMEM119(171Yb)"
glioblastoma,Glioblastoma,sbt_kit,imaging,human|mouse,disease,False,5,"Nestin(141Pr), Vimentin(149Sm), MMP9(158Gd), SOX2(169Tm), EGFR(172Yb)"
synuclein-tau-mixed-pathology,Synuclein / tau mixed pathology,sbt_kit,imaging,human|mouse,disease,False,4,"Tau(149Sm), αSyn(158Gd), p-αSyn [S129](169Tm), pTau [S202/T205](172Yb)"
proteinopathies,Proteinopathies,sbt_kit,imaging,human|mouse,disease,False,5,"APP(141Pr), Tau(149Sm), αSyn(158Gd), p-αSyn [S129](169Tm), pTau [S202/T205](172Yb)"
multiple-sclerosis,Multiple sclerosis,sbt_kit,imaging,human|mouse,disease,False,3,"Neurofilament(141Pr), MBP(149Sm), MOG(158Gd)"
alzheimer-s-disease,Alzheimer's disease,sbt_kit,imaging,human|mouse,disease,False,3,"APP(141Pr), Tau(149Sm), pTau [S202/T205](172Yb)"
parkinson-s-disease,Parkinson's disease,sbt_kit,imaging,human|mouse,disease,False,3,"αSyn(141Pr), p-αSyn [S129](169Tm), Tyrosine Hydroxylase(172Yb)"
cell-signalling,Cell signalling,sbt_kit,imaging,human,functional,False,7,"EGFR(142Nd), PTEN(143Nd), GSK3 β(145Nd), pTYR(146Nd), YAP1(148Nd), pERK1/2 [T202/Y204](167Er), pSMAD(168Er)"
cell-metabolism,Cell metabolism,sbt_kit,imaging,human,functional,False,7,"Glut-1(142Nd), Citrate Synthase​(143Nd), ATP5A(145Nd), CPT1A​(146Nd), LDHA(148Nd), p4E-BP1 [T37/T46](167Er), pS6 [S235/S236](168Er)"
t-cell-exhaustion,T-cell exhaustion,sbt_kit,imaging,human,functional,True,5,"CD366/TIM-3(142Nd), IDO(145Nd), CD223/LAG-3(148Nd), CD134/OX40(167Er), CD152/CTLA-4(168Er)"
basic-immune,Basic immune,sbt_kit,imaging,human,lineage,True,4,"CD20(115In), CD45(152Sm), CD68(159Tb), CD3ε(170Er)"
tissue-architecture,Tissue architecture,sbt_kit,imaging,human,tissue,True,3,"Collagen Type I(89Y), CD31/PECAM-1(151Eu), Fibronectin(171Yb)"
immune-cell-expansion,Immune cell expansion,sbt_kit,imaging,human,lineage,False,7,"CD38(142Nd), CD7(143Nd), CD15/SSEA-1(145Nd), CD16(146Nd), MPO(148Nd), CD206/MMR(167Er), iNOS(168Er)"
epithelial-mesenchymal,Epithelial / mesenchymal,sbt_kit,imaging,human,tissue,True,4,"Vimentin(149Sm), E-Cadherin(158Gd), β-Catenin(169Tm), CD326/EpCAM(172Yb)"
functional-state,Functional state,sbt_kit,imaging,human,functional,True,5,"Ki-67(150Nd), FoxP3(155Gd), CD279/PD-1(165Ho), CD274/PD-L1(166Er), Granzyme B(176Yb)"
myeloid-macrophages,Myeloid / macrophages,sbt_kit,imaging,human,lineage,True,6,"CD11b/Mac-1(144Nd), CD163/M130(147Sm), CD11c(154Sm), CD66b(160Gd), HLA-DR(174Yb), CD14(175Lu)"
lymphoid,Lymphoid,sbt_kit,imaging,human,lineage,True,4,"CD4(156Gd), CD8a(162Dy), CD57(163Dy), CD45RO(173Yb)"
stromal,Stromal,sbt_kit,imaging,human,tissue,True,4,"CD44(153Eu), FAP(161Dy), Podoplanin(164Dy), α-Smooth Muscle Actin(209Bi)"
immuno-oncology-31-marker-master-panel,Immuno-oncology (31-marker master panel),sbt_kit,imaging,human,assay,True,31,"Collagen Type I(89Y), CD20(115In), Pan-Cytokeratin(141Pr), CD11b/Mac-1(144Nd), CD163/M130(147Sm), Vimentin(149Sm), Ki-67(150Nd), CD31/PECAM-1(151Eu), CD45(152Sm), CD44(153Eu), CD11c(154Sm), FoxP3(155Gd), CD4(156Gd), E-Cadherin(158Gd), CD68(159Tb), CD66b(160Gd), FAP(161Dy), CD8a(162Dy), CD57(163Dy), Podoplanin(164Dy), CD279/PD-1(165Ho), CD274/PD-L1(166Er), β-Catenin(169Tm), CD3ε(170Er), Fibronectin(171Yb), CD326/EpCAM(172Yb), CD45RO(173Yb), HLA-DR(174Yb), CD14(175Lu), Granzyme B(176Yb), α-Smooth Muscle Actin(209Bi)"
immuno-oncology-kit-16,Immuno-oncology kit (16),sbt_kit,imaging,human,assay,False,16,"α-Smooth Muscle Actin(141Pr), Vimentin(143Nd), Pan-Cytokeratin(148Nd), CD274/PD-L1(150Nd), FoxP3(155Gd), CD4(156Gd), E-Cadherin(158Gd), CD68(159Tb), CD20(161Dy), CD8a(162Dy), Granzyme B(167Er), Ki-67(168Er), Collagen Type I(169Tm), CD3ε(170Er), CD45RO(173Yb), Histone H3(176Yb)"
neuro-oncology-bundle,Neuro-oncology bundle,sbt_kit,imaging,human,disease,False,24,"α-Smooth Muscle Actin(141Pr), Iba1(142Nd), Vimentin(143Nd), Pan-Cytokeratin(148Nd), CD274/PD-L1(150Nd), CD34(151Eu), FoxP3(155Gd), CD4(156Gd), E-Cadherin(158Gd), CD68(159Tb), NeuN(160Gd), CD20(161Dy), CD8a(162Dy), GFAP(163Dy), S100β(164Dy), CD279/PD-1(165Ho), Granzyme B(167Er), Ki-67(168Er), Collagen Type I(169Tm), CD3ε(170Er), Olig2(172Yb), CD45RO(173Yb), MAP2(175Lu), Histone H3(176Yb)"
tissue-architecture-kit-5,Tissue architecture kit (5),sbt_kit,imaging,human,tissue,False,5,"α-Smooth Muscle Actin(141Pr), Vimentin(143Nd), E-Cadherin(158Gd), Collagen Type I(169Tm), Histone H3(176Yb)"
tumour-infiltrating-lymphocytes-kit,Tumour-infiltrating lymphocytes kit,sbt_kit,imaging,human,lineage,False,8,"Pan-Cytokeratin(148Nd), FoxP3(155Gd), CD4(156Gd), CD68(159Tb), CD20(161Dy), CD8a(162Dy), CD3ε(170Er), CD45RO(173Yb)"
immune-activation-kit,Immune activation kit,sbt_kit,imaging,human,functional,False,4,"CD274/PD-L1(150Nd), CD279/PD-1(165Ho), Granzyme B(167Er), Ki-67(168Er)"
cell-segmentation-kit,Cell segmentation kit,sbt_kit,imaging,human|mouse,scaffolding,False,3,"ICSK-1(195Pt), ICSK-2(196Pt), ICSK-3(198Pt)"
neurophenotyping-kit,Neurophenotyping kit,sbt_kit,imaging,human|mouse,disease,False,7,"Iba1(142Nd), GFAP(143Nd), NeuN(145Nd), S100β(146Nd), MAP2(148Nd), CD34(167Er), Olig2(168Er)"
mdipa-expansion-basic-activation,MDIPA expansion - basic activation,sbt_kit,suspension,human,functional,False,6,"CD107a/LAMP1(106Cd), IL-2(112Cd), TNFα(114Cd), IFNγ(116Cd), Perforin(196Pt), Granzyme B(198Pt)"
mdipa-expansion-t-cell-3,MDIPA expansion - T cell 3,sbt_kit,suspension,human,lineage,False,7,"CD134/OX40(142Nd), TIGIT(159Tb), CD69(162Dy), CD279/PD-1(165Ho), CD366/TIM-3(169Tm), CD278/ICOS(175Lu), CD137/4-1BB(209Bi)"
mdipa-expansion-t-cell-2,MDIPA expansion - T cell 2,sbt_kit,suspension,human,lineage,False,7,"CD11a(142Nd), CD366/TIM-3(159Tb), CD95/Fas(162Dy), CD279/PD-1(165Ho), CD278/ICOS(169Tm), CD184/CXCR4(175Lu), TIGIT(209Bi)"
mdipa-expansion-myeloid-b-cell-2,MDIPA expansion - myeloid / B cell 2,sbt_kit,suspension,human,lineage,False,7,"CD40(142Nd), CD22(159Tb), CD80/B7-1(162Dy), CD163/M130(165Ho), CD24(169Tm), CD279/PD-1(175Lu), CD11b/Mac-1(209Bi)"
mdipa-expansion-myeloid-b-cell-1,MDIPA expansion - myeloid / B cell 1,sbt_kit,suspension,human,lineage,False,7,"CD181/CXCR1(142Nd), CD22(159Tb), CD80/B7-1(162Dy), CD163/M130(165Ho), CD33(169Tm), CD279/PD-1(175Lu), CD11b/Mac-1(209Bi)"
t-cell-checkpoint-and-cytokine-40-marker,T-cell checkpoint and cytokine (40-marker),sbt_kit,suspension,human,assay,False,40,"CD45(89Y), IL-6(106Cd), IL-2(112Cd), TNFα(114Cd), IFNγ(116Cd), TCRαβ(141Pr), CD8a(142Nd), CD154/CD40L(143Nd), CD4(144Nd), CD19(145Nd), CD14(146Nd), IL-5(147Sm), IL-10(148Nd), CD56/NCAM(149Sm), CD45RA(150Nd), CD161(151Eu), CD66b(152Sm), CD25/IL2Rα(153Eu), CD366/TIM-3(154Sm), CD27(155Gd), CD279/PD-1(156Gd), CD134/OX40(158Gd), CD28(160Gd), CD38(161Dy), CD152/CTLA-4(162Dy), CD45RO(163Dy), LAP/TGFβ(164Dy), TIGIT(166Er), CD197/CCR7(167Er), CD127/IL7Rα(168Er), CD3ε(170Er), IL-4(171Yb), IL-21(172Yb), CD137/4-1BB(173Yb), CD274/PD-L1(174Yb), CD95/Fas(176Yb), IL-17A(195Pt), Perforin(196Pt), Granzyme B(198Pt), CD16(209Bi)"
broad-immune-checkpoint-34-marker,Broad immune checkpoint (34-marker),sbt_kit,suspension,human,assay,False,34,"CD45(89Y), TCRαβ(141Pr), CD8a(142Nd), CD154/CD40L(143Nd), CD4(144Nd), CD19(145Nd), CD14(146Nd), CD278/ICOS(148Nd), CD56/NCAM(149Sm), CD45RA(150Nd), CD161(151Eu), CD66b(152Sm), CD25/IL2Rα(153Eu), CD366/TIM-3(154Sm), CD27(155Gd), CD279/PD-1(156Gd), CD134/OX40(158Gd), CD28(160Gd), CD38(161Dy), CD152/CTLA-4(162Dy), CD45RO(163Dy), CD357/GITR(164Dy), CD244/2B4(165Ho), TIGIT(166Er), CD197/CCR7(167Er), CD127/IL7Rα(168Er), CD3ε(170Er), CD226(171Yb), CD223/LAG-3(172Yb), CD137/4-1BB(173Yb), CD274/PD-L1(174Yb), CD272/BTLA(175Lu), CD95/Fas(176Yb), CD16(209Bi)"
cytokine-expansion,Cytokine expansion,sbt_kit,suspension,human,functional,False,3,"IL-5(147Sm), IL-10(148Nd), IL-21(172Yb)"
cytotoxic-mediators,Cytotoxic mediators,sbt_kit,suspension,human,functional,False,3,"IL-6(106Cd), Perforin(196Pt), Granzyme B(198Pt)"
cytokine-core,Cytokine core,sbt_kit,suspension,human,functional,True,5,"IL-2(112Cd), TNFα(114Cd), IFNγ(116Cd), IL-4(171Yb), IL-17A(195Pt)"
immune-checkpoint-expansion-2,Immune checkpoint expansion 2,sbt_kit,suspension,human,functional,False,3,"CD278/ICOS(148Nd), CD357/GITR(164Dy), CD226(171Yb)"
immune-checkpoint-expansion-1,Immune checkpoint expansion 1,sbt_kit,suspension,human,functional,False,3,"CD244/2B4(165Ho), CD223/LAG-3(172Yb), CD272/BTLA(175Lu)"
immune-checkpoint-core,Immune checkpoint core,sbt_kit,suspension,human,functional,True,9,"CD154/CD40L(143Nd), CD366/TIM-3(154Sm), CD279/PD-1(156Gd), CD134/OX40(158Gd), CD152/CTLA-4(162Dy), TIGIT(166Er), CD137/4-1BB(173Yb), CD274/PD-L1(174Yb), CD95/Fas(176Yb)"
t-cell-profiling,T-cell profiling,sbt_kit,suspension,human,lineage,True,10,"TCRαβ(141Pr), CD45RA(150Nd), CD161(151Eu), CD25/IL2Rα(153Eu), CD27(155Gd), CD28(160Gd), CD38(161Dy), CD45RO(163Dy), CD197/CCR7(167Er), CD127/IL7Rα(168Er)"
broad-immune-profiling,Broad immune profiling,sbt_kit,suspension,human,lineage,True,20,"CD45(89Y), CD49D(141Pr), CD8a(142Nd), CD123/IL-3R(143Nd), CD4(144Nd), CD19(145Nd), CD14(146Nd), CD11c(147Sm), CD56/NCAM(149Sm), CD45RA(150Nd), CD161(151Eu), CD66b(152Sm), CD27(155Gd), CD20(156Gd), CD28(160Gd), CD38(161Dy), CD45RO(163Dy), CD3ε(170Er), HLA-DR(176Yb), CD16(209Bi)"
tbmnk-granulocytes,TBMNK + granulocytes,sbt_kit,suspension,human,lineage,True,9,"CD45(89Y), CD8a(142Nd), CD4(144Nd), CD19(145Nd), CD14(146Nd), CD56/NCAM(149Sm), CD66b(152Sm), CD3ε(170Er), CD16(209Bi)"
direct-immune-profiling-assay-mdipa,Direct Immune Profiling Assay (MDIPA),sbt_kit,suspension,human,assay,True,30,"CD45(89Y), CD196/CCR6(141Pr), CD123/IL-3R(143Nd), CD19(144Nd), CD4(145Nd), CD8a(146Nd), CD11c(147Sm), CD16(148Nd), CD45RO(149Sm), CD45RA(150Nd), CD161(151Eu), CD194/CCR4(152Sm), CD25/IL2Rα(153Eu), CD27(154Sm), CD57(155Gd), CD183/CXCR3(156Gd), CD185/CXCR5(158Gd), CD28(160Gd), CD38(161Dy), CD56/NCAM(163Dy), TCRγδ(164Dy), CD294/CRTH2(166Er), CD197/CCR7(167Er), CD14(168Er), CD3ε(170Er), CD20(171Yb), CD66b(172Yb), HLA-DR(173Yb), IgD(174Yb), CD127/IL7Rα(176Yb)"
direct-immune-profiling-assay-legacy,Direct Immune Profiling Assay (legacy),sbt_kit,suspension,human,assay,False,30,"CD194/CCR4(any), CD294/CRTH2(any), CD27(any), CD57(any), CD19(any), CD185/CXCR5(any), CD45(89Y), CD196/CCR6(141Pr), CD123/IL-3R(143Nd), CD4(145Nd), CD8a(146Nd), CD11c(147Sm), CD16(148Nd), CD45RO(149Sm), CD45RA(150Nd), CD161(151Eu), CD25/IL2Rα(153Eu), CD183/CXCR3(156Gd), CD28(160Gd), CD38(161Dy), CD56/NCAM(163Dy), TCRγδ(164Dy), CD197/CCR7(167Er), CD14(168Er), CD3ε(170Er), CD20(171Yb), CD66b(172Yb), HLA-DR(173Yb), IgD(174Yb), CD127/IL7Rα(176Yb)"
t-cell-basic-io,T-cell basic IO,sbt_kit,suspension,human,assay,False,24,"CD11a(142Nd), CD4(145Nd), CD8a(146Nd), CD16(148Nd), CD25/IL2Rα(149Sm), CD134/OX40(150Nd), CD95/Fas(152Sm), CD366/TIM-3(153Eu), CD45(154Sm), CD279/PD-1(155Gd), CD197/CCR7(159Tb), CD152/CTLA-4(161Dy), CD69(162Dy), CD45RO(165Ho), CD44(166Er), CD27(167Er), CD278/ICOS(168Er), CD45RA(169Tm), CD3ε(170Er), CD57(172Yb), CD137/4-1BB(173Yb), HLA-DR(174Yb), CD223/LAG-3(175Lu), CD127/IL7Rα(176Yb)"
t-cell-complete-io,T-cell complete IO,sbt_kit,suspension,human,assay,False,34,"CD49D(141Pr), CD11a(142Nd), CD5(143Nd), CD195/CCR5(144Nd), CD4(145Nd), CD8a(146Nd), CD7(147Sm), CD16(148Nd), CD25/IL2Rα(149Sm), CD134/OX40(150Nd), CD2(151Eu), CD95/Fas(152Sm), CD366/TIM-3(153Eu), CD45(154Sm), CD279/PD-1(155Gd), CD183/CXCR3(156Gd), CD194/CCR4(158Gd), CD197/CCR7(159Tb), CD28(160Gd), CD152/CTLA-4(161Dy), CD69(162Dy), CD161(164Dy), CD45RO(165Ho), CD44(166Er), CD27(167Er), CD278/ICOS(168Er), CD45RA(169Tm), CD3ε(170Er), CD9(171Yb), CD57(172Yb), CD137/4-1BB(173Yb), HLA-DR(174Yb), CD223/LAG-3(175Lu), CD127/IL7Rα(176Yb)"
t-cell-io-expansion,T-cell IO expansion,sbt_kit,suspension,human,functional,False,8,"CD134/OX40(150Nd), CD95/Fas(152Sm), CD366/TIM-3(153Eu), CD152/CTLA-4(161Dy), CD279/PD-1(165Ho), CD278/ICOS(168Er), CD137/4-1BB(173Yb), CD223/LAG-3(175Lu)"
es-ips-pluripotency,ES / iPS pluripotency,sbt_kit,suspension,human,functional,False,6,"TRA-1-60(148Nd), SOX2(150Nd), Oct3/4(165Ho), Nanog(169Tm), CD44(171Yb), c-Myc(176Yb)"
regulatory-t-cells,Regulatory T cells,sbt_kit,suspension,human,lineage,True,13,"CD49D(141Pr), CD4(145Nd), CD194/CCR4(149Sm), CD45RA(153Eu), CD3ε(154Sm), CD39(160Gd), FoxP3(162Dy), CD95/Fas(164Dy), CD45RO(165Ho), CD25/IL2Rα(169Tm), CD152/CTLA-4(170Er), HLA-DR(174Yb), CD127/IL7Rα(176Yb)"
t-helper-phenotyping,T helper phenotyping,sbt_kit,suspension,human,lineage,False,15,"CD196/CCR6(141Pr), CD195/CCR5(144Nd), CD8a(146Nd), CD278/ICOS(151Eu), CD45RA(153Eu), CD3ε(154Sm), CD183/CXCR3(156Gd), CD194/CCR4(158Gd), CD161(159Tb), CD45RO(165Ho), CD25/IL2Rα(169Tm), CD185/CXCR5(171Yb), CD4(174Yb), CD279/PD-1(175Lu), CD127/IL7Rα(176Yb)"
monocyte-macrophage-phenotyping,Monocyte / macrophage phenotyping,sbt_kit,suspension,human,lineage,False,15,"CD19(142Nd), CD11b/Mac-1(144Nd), CD7(147Sm), CD66a/CEACAM1(149Sm), CD36(152Sm), CD163/M130(154Sm), CD45(156Gd), CD11c(159Tb), CD14(160Gd), CD16(165Ho), CD38(167Er), CD206/MMR(168Er), CD33(169Tm), CD3ε(170Er), HLA-DR(174Yb)"
aml-phenotyping,AML phenotyping,sbt_kit,suspension,human,disease,False,15,"CD19(142Nd), CD117/c-kit(143Nd), CD11b/Mac-1(144Nd), CD64(146Nd), CD7(147Sm), CD123/IL-3R(151Eu), CD45(154Sm), CD33(158Gd), CD15/SSEA-1(164Dy), CD34(166Er), CD3ε(170Er), CD44(171Yb), CD38(172Yb), HLA-DR(174Yb), CD184/CXCR4(175Lu)"
peripheral-blood-basic-ii,Peripheral blood basic II,sbt_kit,suspension,human,lineage,False,7,"CD4(145Nd), CD8a(146Nd), CD20(147Sm), CD16(148Nd), CD45(154Sm), CD14(160Gd), CD3ε(170Er)"
b-cell-phenotyping,B-cell phenotyping,sbt_kit,suspension,human,lineage,False,12,"CD19(142Nd), IgD(146Nd), CD20(147Sm), IgA(148Nd), CD21/CD35(152Sm), CD27(155Gd), CD22(159Tb), CD79B(162Dy), CD38(167Er), CD24(169Tm), IgM(172Yb), HLA-DR(174Yb)"
cell-cycle,Cell cycle,sbt_kit,suspension,human|mouse,functional,False,4,"pRb [S807/S811](150Nd), CyclinB1(153Eu), Ki-67(162Dy), pHistone H3 [S28](175Lu)"
hspc-phenotyping,HSPC phenotyping,sbt_kit,suspension,human,lineage,False,7,"CD117/c-kit(143Nd), CD13(152Sm), CD10(156Gd), CD49F(164Dy), CD34(166Er), CD138/SDC1(168Er), CD184/CXCR4(175Lu)"
signalling-i,Signalling I,sbt_kit,suspension,human|mouse|rat|rabbit,functional,False,7,"pStat5 [Y694](150Nd), Stat1 [pY701](153Eu), p38 [T180/Y182](156Gd), pStat3 [Y705](158Gd), IkBa(164Dy), pERK1/2 [T202/Y204](171Yb), pS6 [S235/S236](175Lu)"
cytokine-i,Cytokine I,sbt_kit,suspension,human,functional,False,11,"IL-5(143Nd), IL-4(144Nd), MIP1β(150Nd), TNFα(152Sm), IL-6(156Gd), IL-2(158Gd), IL-17A(164Dy), IL-17F(166Er), IFNγ(168Er), Granzyme B(171Yb), Perforin(175Lu)"
t-cell-phenotyping-expansion,T-cell phenotyping expansion,sbt_kit,suspension,human,lineage,False,10,"CD49D(141Pr), CD5(143Nd), CD195/CCR5(144Nd), CD7(147Sm), CD2(151Eu), CD183/CXCR3(156Gd), CD194/CCR4(158Gd), CD28(160Gd), CD161(164Dy), CD9(171Yb)"
t-cell-phenotyping,T-cell phenotyping,sbt_kit,suspension,human,lineage,False,16,"CD11a(142Nd), CD4(145Nd), CD8a(146Nd), CD16(148Nd), CD25/IL2Rα(149Sm), CD45(154Sm), CD197/CCR7(159Tb), CD69(162Dy), CD45RO(165Ho), CD44(166Er), CD27(167Er), CD45RA(169Tm), CD3ε(170Er), CD57(172Yb), HLA-DR(174Yb), CD127/IL7Rα(176Yb)"
peripheral-blood-phenotyping,Peripheral blood phenotyping,sbt_kit,suspension,human,lineage,False,16,"CD235ab(141Pr), CD19(142Nd), CD4(145Nd), CD8a(146Nd), CD16(148Nd), CD66a/CEACAM1(149Sm), CD123/IL-3R(151Eu), CD45(154Sm), CD11c(159Tb), CD14(160Gd), CD61(165Ho), CD27(167Er), CD45RA(169Tm), CD3ε(170Er), CD38(172Yb), HLA-DR(174Yb)"
peripheral-blood-basic,Peripheral blood basic,sbt_kit,suspension,human,lineage,False,7,"CD20(147Sm), CD45(154Sm), CD14(160Gd), CD16(165Ho), CD8a(168Er), CD3ε(170Er), CD4(174Yb)"
