display_name,n_conjugates,applications,kinds,aliases,sources
ALDH,1,suspension,antibody,,pdv2|store
Androgen Receptor,2,suspension,antibody,Androgen receptor,pdv2|store
APC,3,suspension,antibody,,pdv2|store
APP,3,imaging,antibody,,pdv2|store
Arginase I,2,imaging|suspension,antibody,Arginase-1; ARGINASE-1,pdv2|store
ATP5A,1,imaging,antibody,,pdv2|store
B7-H4,1,imaging,antibody,,pdv2|store
BATF,1,suspension,antibody,,store
BCL-2,1,imaging,antibody,,pdv2|store
BCL-6,2,imaging|suspension,antibody,Bcl-6,pdv2|store
Biotin,4,suspension,secondary,,pdv2|store
BRCA1,1,imaging,antibody,,pdv2|store
c-Myc,2,imaging|suspension,antibody,c-Myc p67,pdv2|store
Calbindin 1,3,imaging,antibody,,pdv2|store
CD10,2,suspension,antibody,,pdv2|store
CD100,1,suspension,antibody,,pdv2|store
CD101,2,suspension,antibody,,pdv2|store
CD102,1,suspension,antibody,CD102/ICAM-2,pdv2|store
CD103,1,suspension,antibody,,pdv2|store
CD104,1,suspension,antibody,,pdv2|store
CD105/Endoglin,1,suspension,antibody,CD105; Endoglin,pdv2|store|store:cd|store:part
CD107a/LAMP1,3,imaging|suspension,antibody,CD107a; CD107a/LAMP-1; LAMP-1; LAMP1,pdv2|store|store:cd|store:part
CD107b,1,suspension,antibody,CD107b/LAMP2,pdv2|store
CD111/Nectin-1,1,suspension,antibody,CD111; Nectin-1,pdv2|store|store:cd|store:part
CD115,1,suspension,antibody,,store
CD117/c-kit,3,suspension,antibody,c-kit; CD117,pdv2|store|store:cd|store:part
CD11a,1,suspension,antibody,,pdv2|store
CD11b/Mac-1,16,imaging|suspension,antibody,CD11b; Mac-1,pdv2|store|store:cd|store:part
CD11c,16,imaging|suspension,antibody,,pdv2|store
CD121b,1,suspension,antibody,CD121B,pdv2|store
CD122/IL-2Rβ,1,suspension,antibody,CD122; IL-2Rβ,pdv2|store|store:cd|store:part
CD123/IL-3R,2,suspension,antibody,CD123; IL-3R,pdv2|store|store:cd|store:part
CD127/IL7Rα,10,imaging|suspension,antibody,CD127; CD127/IL-7R alpha; CD127/IL-7Rα; CD127/IL7R; IL-7Rα; IL7Rα,pdv2|store|store:cd|store:part
CD13,3,suspension,antibody,,pdv2|store
CD130,2,suspension,antibody,,pdv2|store
CD132,1,suspension,antibody,,pdv2|store
CD134/OX40,5,imaging|suspension,antibody,CD134; OX40,pdv2|store|store:cd|store:part
CD135/Flt3,1,suspension,antibody,CD135; CD135/FLT3; Flt3,pdv2|store|store:cd|store:part
CD137 Ligand,1,suspension,antibody,CD137L,pdv2|store
CD137/4-1BB,3,suspension,antibody,4-1BB; CD137,pdv2|store|store:cd|store:part
CD138/SDC1,5,suspension,antibody,CD138; CD138/Syndecan-1; SDC1; Syndecan-1,pdv2|store|store:cd|store:part
CD14,16,imaging|suspension,antibody,,pdv2|store
CD140a,1,suspension,antibody,,store
CD140b/PDGFRβ,2,suspension,antibody,CD140b; CD140b (PDGFRb); PDGFRβ,pdv2|store|store:cd|store:part
CD141,2,suspension,antibody,,pdv2|store
CD146,2,suspension,antibody,,pdv2|store
CD147,1,suspension,antibody,,pdv2|store
CD15/SSEA-1,5,imaging|suspension,antibody,CD15; SSEA-1,pdv2|store|store:cd|store:part
CD150 [SLAM],1,suspension,antibody,,store
CD151/PETA-3,1,suspension,antibody,CD151; PETA-3,pdv2|store|store:cd|store:part
CD152/CTLA-4,6,imaging|suspension,antibody,CD152; CTLA-4; CTLA4,curated|pdv2|store|store:cd|store:part
CD154/CD40L,3,suspension,antibody,CD154; CD154/CD40Ligand; CD40L; CD40Ligand,pdv2|store|store:cd|store:part
CD158b,1,suspension,antibody,CD158b/KIR2DL2/DL3/NKAT2,pdv2|store
CD16,9,imaging|suspension,antibody,,pdv2|store
CD16/32,2,suspension,antibody,Fc block; FcγRII/III,curated|store
CD161,3,suspension,antibody,,pdv2|store
CD162,3,suspension,antibody,,pdv2|store
